Ticker,Buy_Date,Avg_Cost,Shares,Realized_Capital_Gains,Dividends_Received
2337.TW,2026-05-19,149.5,3000,0,0
3028.TW,2026-07-02,82.6,6000,0,0
6187.TWO,2026-02-03,373.5,500,0,0
3037.TW,2025-11-07,161.5,500,0,990
3017.TW,2026-02-11,1910.29,170,0,0
8086.TWO,2026-05-06,156.0,3000,0,0
4749.TWO,2026-05-15,1042.22,450,0,3600
3680.TWO,2026-04-28,485.0,1000,0,4997
8021.TW,2026-03-25,248.5,1000,0,0
3481.TW,2026-05-06,28.1,10000,0,10000
8438.TW,2026-04-07,78.0,5000,0,0
3691.TWO,2026-05-11,144.5,3000,0,0
2423.TW,2026-06-17,76.55,6000,0,15000
8147.TWO,2026-04-13,150.05,2500,0,0
5284.TW,2026-04-27,332.0,1250,0,0
2493.TW,2026-05-20,129.7,2000,0,0
3023.TW,2026-05-13,296.0,1500,0,0
6672.TW,2026-05-14,195.5,2000,0,0
3044.TW,2026-06-16,556.0,1000,0,0
6134.TWO,2026-05-29,35.18,12000,0,0
3305.TW,2026-06-05,152.33,3000,0,0
3550.TW,2026-06-10,27.65,15000,0,0
2413.TW,2026-06-23,53.17,9000,0,0
3577.TWO,2026-06-25,122.13,4000,0,0
2428.TW,2026-06-29,299.16,1500,0,0
6716.TWO,2026-06-29,91.9,5000,0,0
8028.TW,2026-07-03,323.88,1400,0,0
REALIZED_CASH,2025-08-01,0.0,0,1458857,17000
